CMDLINE C:\Users\avark\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.960938 1774893914.9411
MEM 11.937500 1774893915.0501
CHLD 34668 13.304688 1774893915.0547
MEM 11.937500 1774893915.1572
CHLD 34668 16.582031 1774893915.1632
CHLD 34072 13.191406 1774893915.1632
CHLD 13624 12.296875 1774893915.1632
MEM 11.937500 1774893915.2645
CHLD 34668 16.582031 1774893915.2726
CHLD 34072 16.886719 1774893915.2726
CHLD 13624 16.660156 1774893915.2726
MEM 11.937500 1774893915.3739
CHLD 34668 16.582031 1774893915.3799
CHLD 34072 16.890625 1774893915.3799
CHLD 13624 16.683594 1774893915.3799
MEM 11.937500 1774893915.4814
CHLD 34668 16.582031 1774893915.4878
CHLD 34072 16.898438 1774893915.4878
CHLD 13624 16.691406 1774893915.4878
MEM 11.937500 1774893915.5897
CHLD 34668 16.582031 1774893915.5968
CHLD 34072 16.898438 1774893915.5968
CHLD 13624 16.691406 1774893915.5968
MEM 11.937500 1774893915.6986
CHLD 34668 16.582031 1774893915.7064
CHLD 34072 16.902344 1774893915.7064
CHLD 13624 16.695312 1774893915.7064
MEM 11.937500 1774893915.8070
CHLD 34668 16.582031 1774893915.8130
CHLD 34072 16.902344 1774893915.8130
CHLD 13624 16.695312 1774893915.8130
MEM 11.937500 1774893915.9151
CHLD 34668 16.582031 1774893915.9204
CHLD 34072 16.902344 1774893915.9204
CHLD 13624 16.695312 1774893915.9204
MEM 11.937500 1774893916.0221
CHLD 34668 16.582031 1774893916.0268
CHLD 34072 16.902344 1774893916.0268
CHLD 13624 16.699219 1774893916.0268
MEM 11.937500 1774893916.1301
CHLD 34668 16.582031 1774893916.1384
CHLD 34072 16.906250 1774893916.1384
CHLD 13624 16.699219 1774893916.1384
MEM 11.937500 1774893916.2392
CHLD 34668 16.582031 1774893916.2482
CHLD 34072 16.910156 1774893916.2482
CHLD 13624 16.699219 1774893916.2482
MEM 11.937500 1774893916.3497
CHLD 34668 16.582031 1774893916.3562
CHLD 34072 16.910156 1774893916.3562
CHLD 13624 16.703125 1774893916.3562
MEM 11.937500 1774893916.4582
CHLD 34668 16.582031 1774893916.4656
CHLD 34072 16.910156 1774893916.4656
CHLD 13624 16.707031 1774893916.4656
MEM 11.937500 1774893916.5688
CHLD 34668 16.582031 1774893916.5772
CHLD 34072 16.910156 1774893916.5772
CHLD 13624 16.707031 1774893916.5772
MEM 11.937500 1774893916.6788
CHLD 34668 16.582031 1774893916.6830
CHLD 34072 16.910156 1774893916.6830
CHLD 13624 16.707031 1774893916.6830
MEM 11.937500 1774893916.7863
CHLD 34668 16.582031 1774893916.7923
CHLD 34072 16.910156 1774893916.7923
CHLD 13624 16.714844 1774893916.7923
MEM 11.937500 1774893916.8944
CHLD 34668 16.582031 1774893916.9004
CHLD 34072 16.910156 1774893916.9004
CHLD 13624 16.714844 1774893916.9004
MEM 11.937500 1774893917.0015
CHLD 34668 16.582031 1774893917.0015
CHLD 34072 16.910156 1774893917.0015
CHLD 13624 16.714844 1774893917.0015
MEM 11.937500 1774893917.1091
CHLD 34668 16.582031 1774893917.1144
CHLD 34072 16.910156 1774893917.1144
CHLD 13624 16.714844 1774893917.1144
MEM 11.937500 1774893917.2167
CHLD 34668 16.582031 1774893917.2227
CHLD 34072 16.910156 1774893917.2227
CHLD 13624 16.714844 1774893917.2227
MEM 11.937500 1774893917.3237
CHLD 34668 16.582031 1774893917.3298
CHLD 34072 16.910156 1774893917.3298
CHLD 13624 16.714844 1774893917.3298
MEM 11.937500 1774893917.4313
CHLD 34668 16.582031 1774893917.4318
CHLD 34072 16.910156 1774893917.4318
CHLD 13624 16.714844 1774893917.4318
MEM 11.937500 1774893917.5388
CHLD 34668 16.582031 1774893917.5431
CHLD 34072 16.910156 1774893917.5431
CHLD 13624 16.714844 1774893917.5431
MEM 11.937500 1774893917.6467
CHLD 34668 16.582031 1774893917.6523
CHLD 34072 16.910156 1774893917.6523
CHLD 13624 16.718750 1774893917.6523
MEM 11.937500 1774893917.7540
CHLD 34668 16.582031 1774893917.7607
CHLD 34072 16.910156 1774893917.7607
CHLD 13624 16.718750 1774893917.7607
MEM 11.937500 1774893917.8618
CHLD 34668 16.582031 1774893917.8676
CHLD 34072 16.910156 1774893917.8676
CHLD 13624 16.718750 1774893917.8676
MEM 11.937500 1774893917.9691
CHLD 34668 16.582031 1774893917.9755
CHLD 34072 16.910156 1774893917.9755
CHLD 13624 16.718750 1774893917.9755
MEM 11.937500 1774893918.0765
CHLD 34668 16.582031 1774893918.0825
CHLD 34072 16.914062 1774893918.0825
CHLD 13624 16.718750 1774893918.0825
MEM 11.937500 1774893918.1844
CHLD 34668 16.582031 1774893918.1905
CHLD 34072 16.914062 1774893918.1905
CHLD 13624 16.718750 1774893918.1905
MEM 11.937500 1774893918.2917
CHLD 34668 16.582031 1774893918.2970
CHLD 34072 16.914062 1774893918.2970
CHLD 13624 16.718750 1774893918.2970
MEM 11.937500 1774893918.3991
CHLD 34668 16.582031 1774893918.4031
CHLD 34072 16.914062 1774893918.4031
CHLD 13624 16.718750 1774893918.4031
MEM 11.937500 1774893918.5063
CHLD 34668 16.582031 1774893918.5083
CHLD 34072 16.914062 1774893918.5083
CHLD 13624 16.718750 1774893918.5083
MEM 11.937500 1774893918.6137
CHLD 34668 16.582031 1774893918.6177
CHLD 34072 16.914062 1774893918.6177
CHLD 13624 16.718750 1774893918.6177
MEM 11.937500 1774893918.7203
CHLD 34668 16.582031 1774893918.7264
CHLD 34072 16.914062 1774893918.7264
CHLD 13624 16.718750 1774893918.7264
MEM 11.937500 1774893918.8276
CHLD 34668 16.582031 1774893918.8333
CHLD 34072 16.914062 1774893918.8333
CHLD 13624 16.718750 1774893918.8333
MEM 11.937500 1774893918.9345
CHLD 34668 16.582031 1774893918.9385
CHLD 34072 16.914062 1774893918.9385
CHLD 13624 16.718750 1774893918.9385
MEM 11.937500 1774893919.0422
CHLD 34668 16.582031 1774893919.0488
CHLD 34072 16.914062 1774893919.0488
CHLD 13624 16.718750 1774893919.0488
MEM 11.937500 1774893919.1504
CHLD 34668 16.582031 1774893919.1564
CHLD 34072 16.914062 1774893919.1564
CHLD 13624 16.718750 1774893919.1564
MEM 11.937500 1774893919.2579
CHLD 34668 16.582031 1774893919.2651
CHLD 34072 16.914062 1774893919.2651
CHLD 13624 16.718750 1774893919.2651
MEM 11.937500 1774893919.3660
CHLD 34668 16.582031 1774893919.3717
CHLD 34072 16.917969 1774893919.3717
CHLD 13624 16.718750 1774893919.3717
MEM 11.937500 1774893919.4732
CHLD 34668 16.582031 1774893919.4793
CHLD 34072 16.917969 1774893919.4793
CHLD 13624 16.718750 1774893919.4793
MEM 11.937500 1774893919.5808
CHLD 34668 16.582031 1774893919.5808
CHLD 34072 16.917969 1774893919.5808
CHLD 13624 16.718750 1774893919.5878
MEM 11.937500 1774893919.6880
CHLD 34668 16.582031 1774893919.6941
CHLD 34072 16.917969 1774893919.6941
CHLD 13624 16.718750 1774893919.6941
MEM 11.937500 1774893919.7958
CHLD 34668 16.582031 1774893919.8018
CHLD 34072 16.917969 1774893919.8018
CHLD 13624 16.718750 1774893919.8018
MEM 11.937500 1774893919.9035
CHLD 34668 16.582031 1774893919.9099
CHLD 34072 16.917969 1774893919.9099
CHLD 13624 16.718750 1774893919.9099
MEM 11.937500 1774893920.0118
CHLD 34668 16.582031 1774893920.0182
CHLD 34072 16.917969 1774893920.0182
CHLD 13624 16.718750 1774893920.0182
MEM 11.937500 1774893920.1189
CHLD 34668 16.582031 1774893920.1245
CHLD 34072 16.917969 1774893920.1245
CHLD 13624 16.718750 1774893920.1245
MEM 11.937500 1774893920.2261
CHLD 34668 16.582031 1774893920.2322
CHLD 34072 16.917969 1774893920.2322
CHLD 13624 16.718750 1774893920.2322
MEM 11.937500 1774893920.3335
CHLD 34668 16.582031 1774893920.3404
CHLD 34072 16.917969 1774893920.3404
CHLD 13624 16.718750 1774893920.3404
MEM 11.937500 1774893920.4410
CHLD 34668 16.582031 1774893920.4450
CHLD 34072 16.917969 1774893920.4450
CHLD 13624 16.718750 1774893920.4450
MEM 11.937500 1774893920.5486
CHLD 34668 16.582031 1774893920.5547
CHLD 34072 16.917969 1774893920.5547
CHLD 13624 16.718750 1774893920.5547
MEM 11.937500 1774893920.6558
CHLD 34668 16.582031 1774893920.6628
CHLD 34072 16.917969 1774893920.6628
CHLD 13624 16.718750 1774893920.6628
MEM 11.937500 1774893920.7632
CHLD 34668 16.582031 1774893920.7670
CHLD 34072 16.917969 1774893920.7670
CHLD 13624 16.718750 1774893920.7670
MEM 11.937500 1774893920.8710
CHLD 34668 16.582031 1774893920.8776
CHLD 34072 16.917969 1774893920.8776
CHLD 13624 16.718750 1774893920.8776
MEM 11.937500 1774893920.9782
CHLD 34668 16.582031 1774893920.9839
CHLD 34072 16.917969 1774893920.9839
CHLD 13624 16.718750 1774893920.9839
MEM 11.937500 1774893921.0858
CHLD 34668 16.582031 1774893921.0918
CHLD 34072 16.917969 1774893921.0918
CHLD 13624 16.718750 1774893921.0918
MEM 11.937500 1774893921.1927
CHLD 34668 16.582031 1774893921.1994
CHLD 34072 16.917969 1774893921.1994
CHLD 13624 16.722656 1774893921.1994
MEM 11.937500 1774893921.3001
CHLD 34668 16.582031 1774893921.3062
CHLD 34072 16.917969 1774893921.3062
CHLD 13624 16.722656 1774893921.3062
MEM 11.937500 1774893921.4072
CHLD 34668 16.582031 1774893921.4139
CHLD 34072 16.917969 1774893921.4139
CHLD 13624 16.722656 1774893921.4139
MEM 11.937500 1774893921.5145
CHLD 34668 16.582031 1774893921.5200
CHLD 34072 16.917969 1774893921.5200
CHLD 13624 16.726562 1774893921.5200
MEM 11.937500 1774893921.6215
CHLD 34668 16.582031 1774893921.6276
CHLD 34072 16.917969 1774893921.6276
CHLD 13624 16.726562 1774893921.6276
MEM 11.937500 1774893921.7290
CHLD 34668 16.582031 1774893921.7343
CHLD 34072 16.917969 1774893921.7343
CHLD 13624 16.726562 1774893921.7343
MEM 11.937500 1774893921.8364
CHLD 34668 16.582031 1774893921.8432
CHLD 34072 16.917969 1774893921.8432
CHLD 13624 16.730469 1774893921.8432
MEM 11.937500 1774893921.9437
CHLD 34668 16.582031 1774893921.9495
CHLD 34072 16.917969 1774893921.9495
CHLD 13624 16.730469 1774893921.9495
MEM 11.937500 1774893922.0512
CHLD 34668 16.582031 1774893922.0563
CHLD 34072 16.917969 1774893922.0563
CHLD 13624 16.730469 1774893922.0563
MEM 11.937500 1774893922.1589
CHLD 34668 16.582031 1774893922.1648
CHLD 34072 16.917969 1774893922.1648
CHLD 13624 16.730469 1774893922.1648
MEM 11.937500 1774893922.2667
CHLD 34668 16.582031 1774893922.2707
CHLD 34072 16.917969 1774893922.2707
CHLD 13624 16.730469 1774893922.2707
MEM 11.937500 1774893922.3742
CHLD 34668 16.582031 1774893922.3802
CHLD 34072 16.917969 1774893922.3802
CHLD 13624 16.730469 1774893922.3802
MEM 11.937500 1774893922.4819
CHLD 34668 16.582031 1774893922.4859
CHLD 34072 16.917969 1774893922.4859
CHLD 13624 16.730469 1774893922.4859
MEM 11.937500 1774893922.5889
CHLD 34668 16.582031 1774893922.5948
CHLD 34072 16.917969 1774893922.5948
CHLD 13624 16.730469 1774893922.5948
MEM 11.937500 1774893922.6968
CHLD 34668 16.582031 1774893922.7028
CHLD 34072 16.917969 1774893922.7028
CHLD 13624 16.730469 1774893922.7028
MEM 11.937500 1774893922.8043
CHLD 34668 16.582031 1774893922.8043
CHLD 34072 16.917969 1774893922.8043
CHLD 13624 16.730469 1774893922.8043
MEM 11.937500 1774893922.9122
CHLD 34668 16.582031 1774893922.9173
CHLD 34072 16.917969 1774893922.9173
CHLD 13624 16.730469 1774893922.9173
MEM 11.937500 1774893923.0195
CHLD 34668 16.582031 1774893923.0232
CHLD 34072 16.917969 1774893923.0232
CHLD 13624 16.730469 1774893923.0232
MEM 11.937500 1774893923.1277
CHLD 34668 16.582031 1774893923.1357
CHLD 34072 16.917969 1774893923.1357
CHLD 13624 16.730469 1774893923.1357
MEM 11.937500 1774893923.2364
CHLD 34668 16.582031 1774893923.2437
CHLD 34072 16.917969 1774893923.2437
CHLD 13624 16.730469 1774893923.2437
MEM 11.937500 1774893923.3445
CHLD 34668 16.582031 1774893923.3495
CHLD 34072 16.917969 1774893923.3495
CHLD 13624 16.730469 1774893923.3495
MEM 11.937500 1774893923.4518
CHLD 34668 16.582031 1774893923.4581
CHLD 34072 16.917969 1774893923.4581
CHLD 13624 16.730469 1774893923.4581
MEM 11.937500 1774893923.5587
CHLD 34668 16.582031 1774893923.5651
CHLD 34072 16.917969 1774893923.5651
CHLD 13624 16.730469 1774893923.5651
MEM 11.937500 1774893923.6666
CHLD 34668 16.582031 1774893923.6732
CHLD 34072 16.917969 1774893923.6732
CHLD 13624 16.730469 1774893923.6732
MEM 11.937500 1774893923.7741
CHLD 34668 16.582031 1774893923.7801
CHLD 34072 16.917969 1774893923.7801
CHLD 13624 16.730469 1774893923.7801
MEM 11.937500 1774893923.8814
CHLD 34668 16.582031 1774893923.8880
CHLD 34072 16.917969 1774893923.8880
CHLD 13624 16.730469 1774893923.8880
MEM 11.937500 1774893923.9888
CHLD 34668 16.582031 1774893923.9974
CHLD 34072 16.921875 1774893923.9974
CHLD 13624 16.730469 1774893923.9974
MEM 11.937500 1774893924.0977
CHLD 34668 16.582031 1774893924.1015
CHLD 34072 16.921875 1774893924.1015
CHLD 13624 16.730469 1774893924.1015
MEM 11.937500 1774893924.2048
CHLD 34668 16.582031 1774893924.2110
CHLD 34072 16.921875 1774893924.2110
CHLD 13624 16.730469 1774893924.2110
